03/07/2021 08:20:53 AM Temp: 72.3 F / 22.4 C    Humidity: 48.0% 
03/07/2021 09:58:01 AM Temp: 68.5 F / 20.3 C    Humidity: 33.7% 
03/07/2021 09:59:02 AM Temp: 68.5 F / 20.3 C    Humidity: 33.7% 
03/07/2021 10:00:02 AM Temp: 68.5 F / 20.3 C    Humidity: 33.8% 
03/07/2021 10:01:02 AM Temp: 68.5 F / 20.3 C    Humidity: 33.8% 
03/07/2021 10:02:02 AM Temp: 68.5 F / 20.3 C    Humidity: 33.8% 
03/07/2021 10:03:02 AM Temp: 68.5 F / 20.3 C    Humidity: 33.9% 
03/07/2021 10:04:02 AM Temp: 68.5 F / 20.3 C    Humidity: 34.1% 
03/07/2021 10:05:02 AM Temp: 68.7 F / 20.4 C    Humidity: 34.2% 
03/07/2021 10:06:02 AM Temp: 68.7 F / 20.4 C    Humidity: 34.1% 
03/07/2021 10:07:02 AM Temp: 68.7 F / 20.4 C    Humidity: 34.0% 
03/07/2021 10:08:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.8% 
03/07/2021 10:09:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.8% 
03/07/2021 10:10:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.8% 
03/07/2021 10:11:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.7% 
03/07/2021 10:12:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.7% 
03/07/2021 10:13:02 AM Temp: 68.7 F / 20.4 C    Humidity: 33.6% 
03/07/2021 10:14:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.6% 
03/07/2021 10:15:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.5% 
03/07/2021 10:16:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.7% 
03/07/2021 10:17:01 AM Temp: 68.7 F / 20.4 C    Humidity: 33.6% 
03/07/2021 10:18:01 AM Temp: 68.9 F / 20.5 C    Humidity: 33.9% 
03/07/2021 10:19:01 AM Temp: 68.9 F / 20.5 C    Humidity: 33.8% 
03/07/2021 10:20:01 AM Temp: 68.9 F / 20.5 C    Humidity: 34.0% 
03/07/2021 10:21:01 AM Temp: 68.9 F / 20.5 C    Humidity: 33.9% 
03/07/2021 10:22:01 AM Temp: 68.9 F / 20.5 C    Humidity: 33.9% 
03/07/2021 10:23:01 AM Temp: 68.9 F / 20.5 C    Humidity: 33.9% 
03/07/2021 10:24:01 AM Temp: 68.9 F / 20.5 C    Humidity: 33.6% 
03/07/2021 10:25:01 AM Temp: 69.1 F / 20.6 C    Humidity: 33.4% 
03/07/2021 10:26:01 AM Temp: 69.1 F / 20.6 C    Humidity: 33.5% 
03/07/2021 10:27:01 AM Temp: 68.9 F / 20.5 C    Humidity: 33.5% 
03/07/2021 10:28:01 AM Temp: 69.1 F / 20.6 C    Humidity: 33.4% 
03/07/2021 10:29:01 AM Temp: 69.1 F / 20.6 C    Humidity: 33.6% 
03/07/2021 10:30:01 AM Temp: 69.1 F / 20.6 C    Humidity: 33.7% 
03/07/2021 10:31:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.5% 
03/07/2021 10:32:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.5% 
03/07/2021 10:33:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.5% 
03/07/2021 10:34:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.5% 
03/07/2021 10:35:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.5% 
03/07/2021 10:36:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.6% 
03/07/2021 10:37:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.4% 
03/07/2021 10:38:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.3% 
03/07/2021 10:39:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.4% 
03/07/2021 10:40:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.3% 
03/07/2021 10:41:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.3% 
03/07/2021 10:42:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.4% 
03/07/2021 10:43:02 AM Temp: 69.1 F / 20.6 C    Humidity: 33.5% 
03/07/2021 10:44:02 AM Temp: 69.3 F / 20.7 C    Humidity: 33.8% 
03/07/2021 10:45:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.6% 
03/07/2021 10:46:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.3% 
03/07/2021 10:47:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.2% 
03/07/2021 10:48:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.2% 
03/07/2021 10:49:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.2% 
03/07/2021 10:50:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.1% 
03/07/2021 10:51:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.0% 
03/07/2021 10:52:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.2% 
03/07/2021 10:53:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.1% 
03/07/2021 10:54:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.0% 
03/07/2021 10:55:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.2% 
03/07/2021 10:56:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.2% 
03/07/2021 10:57:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.2% 
03/07/2021 10:58:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.2% 
03/07/2021 10:59:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.1% 
03/07/2021 11:00:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.3% 
03/07/2021 11:01:01 AM Temp: 69.3 F / 20.7 C    Humidity: 33.1% 
03/07/2021 11:02:02 AM Temp: 69.3 F / 20.7 C    Humidity: 33.1% 
03/07/2021 11:03:02 AM Temp: 69.3 F / 20.7 C    Humidity: 33.1% 
03/07/2021 11:04:02 AM Temp: 69.3 F / 20.7 C    Humidity: 33.1% 
03/07/2021 11:05:02 AM Temp: 69.3 F / 20.7 C    Humidity: 33.1% 
03/07/2021 11:06:02 AM Temp: 69.3 F / 20.7 C    Humidity: 33.0% 
03/07/2021 11:07:02 AM Temp: 69.3 F / 20.7 C    Humidity: 33.1% 
03/07/2021 11:08:02 AM Temp: 69.3 F / 20.7 C    Humidity: 33.2% 
03/07/2021 11:09:02 AM Temp: 69.3 F / 20.7 C    Humidity: 33.1% 
03/07/2021 11:10:02 AM Temp: 69.3 F / 20.7 C    Humidity: 33.1% 
03/07/2021 11:11:02 AM Temp: 69.3 F / 20.7 C    Humidity: 32.9% 
03/07/2021 11:12:02 AM Temp: 69.3 F / 20.7 C    Humidity: 33.0% 
03/07/2021 11:13:02 AM Temp: 69.3 F / 20.7 C    Humidity: 32.8% 
03/07/2021 11:14:02 AM Temp: 69.3 F / 20.7 C    Humidity: 32.9% 
03/07/2021 11:15:02 AM Temp: 69.3 F / 20.7 C    Humidity: 32.9% 
03/07/2021 11:16:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.9% 
03/07/2021 11:17:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.9% 
03/07/2021 11:18:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.7% 
03/07/2021 11:19:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.9% 
03/07/2021 11:20:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.8% 
03/07/2021 11:21:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.8% 
03/07/2021 11:22:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.9% 
03/07/2021 11:23:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.8% 
03/07/2021 11:24:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.8% 
03/07/2021 11:25:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.8% 
03/07/2021 11:26:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.6% 
03/07/2021 11:27:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.6% 
03/07/2021 11:28:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.6% 
03/07/2021 11:29:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.6% 
03/07/2021 11:30:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.6% 
03/07/2021 11:31:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.7% 
03/07/2021 11:32:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.6% 
03/07/2021 11:33:02 AM Temp: 69.4 F / 20.8 C    Humidity: 32.5% 
03/07/2021 11:34:02 AM Temp: 69.4 F / 20.8 C    Humidity: 32.5% 
03/07/2021 11:35:02 AM Temp: 69.4 F / 20.8 C    Humidity: 32.5% 
03/07/2021 11:36:02 AM Temp: 69.4 F / 20.8 C    Humidity: 32.4% 
03/07/2021 11:37:02 AM Temp: 69.4 F / 20.8 C    Humidity: 32.5% 
03/07/2021 11:38:02 AM Temp: 69.4 F / 20.8 C    Humidity: 32.6% 
03/07/2021 11:39:02 AM Temp: 69.4 F / 20.8 C    Humidity: 32.5% 
03/07/2021 11:40:02 AM Temp: 69.6 F / 20.9 C    Humidity: 32.6% 
03/07/2021 11:41:02 AM Temp: 69.4 F / 20.8 C    Humidity: 32.5% 
03/07/2021 11:42:02 AM Temp: 69.4 F / 20.8 C    Humidity: 32.4% 
03/07/2021 11:43:02 AM Temp: 69.4 F / 20.8 C    Humidity: 32.3% 
03/07/2021 11:44:02 AM Temp: 69.6 F / 20.9 C    Humidity: 32.4% 
03/07/2021 11:45:02 AM Temp: 69.6 F / 20.9 C    Humidity: 32.4% 
03/07/2021 11:46:02 AM Temp: 69.6 F / 20.9 C    Humidity: 32.5% 
03/07/2021 11:47:01 AM Temp: 69.6 F / 20.9 C    Humidity: 32.5% 
03/07/2021 11:48:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.4% 
03/07/2021 11:49:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.4% 
03/07/2021 11:50:01 AM Temp: 69.4 F / 20.8 C    Humidity: 32.3% 
03/07/2021 11:51:01 AM Temp: 69.6 F / 20.9 C    Humidity: 32.3% 
03/07/2021 11:52:01 AM Temp: 69.6 F / 20.9 C    Humidity: 32.3% 
03/07/2021 11:53:01 AM Temp: 69.6 F / 20.9 C    Humidity: 32.3% 
03/07/2021 11:54:01 AM Temp: 69.6 F / 20.9 C    Humidity: 32.4% 
03/07/2021 11:55:01 AM Temp: 69.6 F / 20.9 C    Humidity: 32.3% 
03/07/2021 11:56:01 AM Temp: 69.6 F / 20.9 C    Humidity: 32.3% 
03/07/2021 11:57:01 AM Temp: 69.6 F / 20.9 C    Humidity: 32.3% 
03/07/2021 11:58:01 AM Temp: 69.6 F / 20.9 C    Humidity: 32.3% 
03/07/2021 11:59:01 AM Temp: 69.6 F / 20.9 C    Humidity: 32.3% 
03/07/2021 12:00:01 PM Temp: 69.6 F / 20.9 C    Humidity: 32.4% 
03/07/2021 12:01:01 PM Temp: 69.6 F / 20.9 C    Humidity: 32.3% 
03/07/2021 12:02:01 PM Temp: 69.6 F / 20.9 C    Humidity: 32.4% 
03/07/2021 12:03:01 PM Temp: 69.6 F / 20.9 C    Humidity: 32.4% 
03/07/2021 12:04:02 PM Temp: 69.6 F / 20.9 C    Humidity: 32.6% 
03/07/2021 12:05:02 PM Temp: 69.6 F / 20.9 C    Humidity: 32.7% 
03/07/2021 12:06:02 PM Temp: 69.6 F / 20.9 C    Humidity: 32.7% 
03/07/2021 12:07:02 PM Temp: 69.6 F / 20.9 C    Humidity: 32.8% 
03/07/2021 12:08:02 PM Temp: 69.6 F / 20.9 C    Humidity: 32.8% 
03/07/2021 12:09:02 PM Temp: 69.6 F / 20.9 C    Humidity: 32.9% 
03/07/2021 12:10:02 PM Temp: 69.6 F / 20.9 C    Humidity: 32.8% 
03/07/2021 12:11:02 PM Temp: 69.6 F / 20.9 C    Humidity: 32.8% 
03/07/2021 12:12:02 PM Temp: 69.8 F / 21.0 C    Humidity: 32.9% 
03/07/2021 12:13:02 PM Temp: 69.8 F / 21.0 C    Humidity: 33.0% 
03/07/2021 12:14:02 PM Temp: 69.6 F / 20.9 C    Humidity: 32.9% 
03/07/2021 12:15:02 PM Temp: 69.8 F / 21.0 C    Humidity: 33.0% 
03/07/2021 12:16:02 PM Temp: 69.8 F / 21.0 C    Humidity: 33.0% 
03/07/2021 12:17:02 PM Temp: 69.8 F / 21.0 C    Humidity: 33.0% 
03/07/2021 12:18:01 PM Temp: 69.8 F / 21.0 C    Humidity: 33.0% 
03/07/2021 12:19:01 PM Temp: 69.8 F / 21.0 C    Humidity: 33.0% 
03/07/2021 12:20:01 PM Temp: 69.8 F / 21.0 C    Humidity: 32.9% 
03/07/2021 12:21:01 PM Temp: 69.8 F / 21.0 C    Humidity: 32.9% 
03/07/2021 12:22:01 PM Temp: 69.8 F / 21.0 C    Humidity: 33.0% 
03/07/2021 12:23:01 PM Temp: 69.8 F / 21.0 C    Humidity: 32.9% 
03/07/2021 12:24:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.9% 
03/07/2021 12:25:01 PM Temp: 69.8 F / 21.0 C    Humidity: 32.9% 
03/07/2021 12:26:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.9% 
03/07/2021 12:27:01 PM Temp: 69.8 F / 21.0 C    Humidity: 32.8% 
03/07/2021 12:28:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.9% 
03/07/2021 12:29:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.9% 
03/07/2021 12:30:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.9% 
03/07/2021 12:31:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.9% 
03/07/2021 12:32:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.8% 
03/07/2021 12:33:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.8% 
03/07/2021 12:34:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.7% 
03/07/2021 12:35:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.8% 
03/07/2021 12:36:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.8% 
03/07/2021 12:37:02 PM Temp: 70.0 F / 21.1 C    Humidity: 32.8% 
03/07/2021 12:38:02 PM Temp: 70.0 F / 21.1 C    Humidity: 32.8% 
03/07/2021 12:39:02 PM Temp: 70.0 F / 21.1 C    Humidity: 32.8% 
03/07/2021 12:40:02 PM Temp: 70.0 F / 21.1 C    Humidity: 32.7% 
03/07/2021 12:41:02 PM Temp: 70.0 F / 21.1 C    Humidity: 32.7% 
03/07/2021 12:42:02 PM Temp: 70.0 F / 21.1 C    Humidity: 32.7% 
03/07/2021 12:43:02 PM Temp: 70.0 F / 21.1 C    Humidity: 32.7% 
03/07/2021 12:44:02 PM Temp: 70.0 F / 21.1 C    Humidity: 32.7% 
03/07/2021 12:45:02 PM Temp: 70.0 F / 21.1 C    Humidity: 32.6% 
03/07/2021 12:46:02 PM Temp: 70.0 F / 21.1 C    Humidity: 32.6% 
03/07/2021 12:47:02 PM Temp: 70.0 F / 21.1 C    Humidity: 32.6% 
03/07/2021 12:48:02 PM Temp: 70.0 F / 21.1 C    Humidity: 32.6% 
03/07/2021 12:49:02 PM Temp: 70.2 F / 21.2 C    Humidity: 32.7% 
03/07/2021 12:50:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.6% 
03/07/2021 12:51:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.6% 
03/07/2021 12:52:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.5% 
03/07/2021 12:53:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.6% 
03/07/2021 12:54:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.6% 
03/07/2021 12:55:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.5% 
03/07/2021 12:56:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.5% 
03/07/2021 12:57:01 PM Temp: 70.0 F / 21.1 C    Humidity: 32.5% 
03/07/2021 12:58:01 PM Temp: 70.2 F / 21.2 C    Humidity: 32.5% 
03/07/2021 12:59:01 PM Temp: 70.2 F / 21.2 C    Humidity: 32.5% 
03/07/2021 01:00:01 PM Temp: 70.2 F / 21.2 C    Humidity: 32.5% 
03/07/2021 01:01:01 PM Temp: 70.2 F / 21.2 C    Humidity: 32.5% 
03/07/2021 01:02:01 PM Temp: 70.2 F / 21.2 C    Humidity: 32.4% 
03/07/2021 01:03:01 PM Temp: 70.2 F / 21.2 C    Humidity: 32.4% 
03/07/2021 01:04:01 PM Temp: 70.2 F / 21.2 C    Humidity: 32.4% 
03/07/2021 01:05:01 PM Temp: 70.2 F / 21.2 C    Humidity: 32.4% 
03/07/2021 01:06:01 PM Temp: 70.2 F / 21.2 C    Humidity: 32.4% 
03/07/2021 01:07:01 PM Temp: 70.2 F / 21.2 C    Humidity: 32.4% 
03/07/2021 01:08:02 PM Temp: 70.2 F / 21.2 C    Humidity: 32.3% 
03/07/2021 01:09:02 PM Temp: 70.2 F / 21.2 C    Humidity: 32.3% 
03/07/2021 01:10:02 PM Temp: 70.2 F / 21.2 C    Humidity: 32.3% 
03/07/2021 01:11:02 PM Temp: 70.2 F / 21.2 C    Humidity: 32.3% 
03/07/2021 01:12:02 PM Temp: 70.2 F / 21.2 C    Humidity: 32.2% 
03/07/2021 01:13:02 PM Temp: 70.2 F / 21.2 C    Humidity: 32.3% 
03/07/2021 01:14:02 PM Temp: 70.3 F / 21.3 C    Humidity: 32.3% 
03/07/2021 01:15:02 PM Temp: 70.3 F / 21.3 C    Humidity: 32.3% 
03/07/2021 01:16:02 PM Temp: 70.2 F / 21.2 C    Humidity: 32.2% 
03/07/2021 01:17:02 PM Temp: 70.2 F / 21.2 C    Humidity: 32.2% 
03/07/2021 01:18:02 PM Temp: 70.2 F / 21.2 C    Humidity: 32.1% 
03/07/2021 01:19:02 PM Temp: 70.3 F / 21.3 C    Humidity: 32.1% 
03/07/2021 01:20:02 PM Temp: 70.3 F / 21.3 C    Humidity: 32.1% 
03/07/2021 01:21:01 PM Temp: 70.3 F / 21.3 C    Humidity: 32.1% 
03/07/2021 01:22:01 PM Temp: 70.3 F / 21.3 C    Humidity: 32.1% 
03/07/2021 01:23:01 PM Temp: 70.3 F / 21.3 C    Humidity: 32.1% 
03/07/2021 01:24:01 PM Temp: 70.3 F / 21.3 C    Humidity: 32.1% 
03/07/2021 01:25:01 PM Temp: 70.3 F / 21.3 C    Humidity: 32.1% 
03/07/2021 01:26:01 PM Temp: 70.3 F / 21.3 C    Humidity: 32.1% 
03/07/2021 01:27:01 PM Temp: 70.3 F / 21.3 C    Humidity: 32.1% 
03/07/2021 01:28:01 PM Temp: 70.3 F / 21.3 C    Humidity: 32.0% 
03/07/2021 01:29:01 PM Temp: 70.3 F / 21.3 C    Humidity: 32.0% 
03/07/2021 01:30:01 PM Temp: 70.3 F / 21.3 C    Humidity: 32.0% 
